,cc55ad136178,183451030786,78d6f0095767,f0d1a9157700,9852b1114223,0021e9004788,143605025244,145a05025360,f0cba1156172,78a3e4094637,b8f6b1127362,44d884059772,6ce907087253,1c69a5035535,5cf8a1076357,3451c9046719,d0dfc7138791,40d32d057887,28987b041547,b0c4e7123789,60c547077908,7cc537099016,0cdfa4022966,3cd0f8053325,c819f7132922,8c7712106341,5c0a5b073094,542696068013,28cfda042366,40a6d9055646,28e02c043162,cc08e0135568,78a3e4093359,5c0a5b072805,4c8d79062220,dc85de145128,8cfaba107554,f0cba1157278,6021c0076689,b0ec71124166,0016d4001816,30f7c5046417,1c62b8035205,6c3e6d084540,cc08e0135557,b0358d123000,183f47032069,c819f7132926,3c8bfe052405,a8fad8122068,0c1420020012,6021c0076799,f0d1a9158006,d82a7e139791,845181101169,806007099916,f0d1a9157760,b407f9124888,c09f42131457,5c0a5b073520,40b395057060,183f47032201,ac8112122579,c488e5132656,405fbe054991,202bc1037507,e892a4152306,943af0110142,a8e018121394,40a6d9055273,f8d0bd162079,d49a20139462,98b8e3114356,40d32d058132,f81edf161634,147dc5027139,02c0ca014364,64b9e8080614,5c4ca9073649,28987b041678,1c69a5035594,34c059047716,d89e3f142594,680927082030,206432038388,e4b021150073,189efc032991,980c82112092,3cd0f8053769,786c1c092696,fca13e163315,647791079603,1489fd027438,7c11be096671,24ab81040745,806007100021,e899c4152618,f0d1a9157758,680927082429,101dc0023074,
cc55ad136178,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.5,0.4,0.0,0.6666666666666666,0.08,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.15384615384615385,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.18181818181818182,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.4,0.6666666666666666,0.0,0.6666666666666666,0.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,
183451030786,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,
78d6f0095767,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,
f0d1a9157700,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,
9852b1114223,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,
0021e9004788,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.5,0.4,0.0,0.6666666666666666,0.16,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.15384615384615385,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.18181818181818182,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.4,0.6666666666666666,0.0,0.6666666666666666,0.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,
143605025244,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,
145a05025360,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,
f0cba1156172,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,
78a3e4094637,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,
b8f6b1127362,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,
44d884059772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6ce907087253,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,
1c69a5035535,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,
5cf8a1076357,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,
3451c9046719,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.5,0.4,0.0,0.6666666666666666,0.08,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.15384615384615385,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.18181818181818182,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.4,0.6666666666666666,0.0,0.6666666666666666,0.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,
d0dfc7138791,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,
40d32d057887,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,
28987b041547,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,
b0c4e7123789,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,
60c547077908,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.5714285714285714,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.5,0.4,0.0,0.6666666666666666,0.08,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.15384615384615385,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.18181818181818182,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.4,0.6666666666666666,0.0,0.6666666666666666,0.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,
