  ,alice1,bob1,charlie1,diana1,ethan1,fred1,greta1,harriet1,indigo1,james1,kyle1,lily1,michael1,nancy1,alice2,bob2,charlie2,diana2,ethan2,fred2,greta2,harriet2,indigo2,james2,kyle2,lily2,michael2,nancy2
alice1,1.0,0.6829268292682927,0.68,0.7727272727272727,0.5925925925925926,0.7894736842105263,0.41379310344827586,0.5789473684210527,0.5,0.5098039215686274,0.6153846153846154,0.5833333333333334,0.5454545454545454,0.6666666666666666,0.926829268292683,0.5714285714285714,0.5862068965517241,0.7058823529411765,0.463768115942029,0.7391304347826086,0.5,0.65,0.5614035087719298,0.48148148148148145,0.6071428571428571,0.5517241379310345,0.5074626865671642,0.6938775510204082
bob1,0.6829268292682927,1.0,0.7169811320754716,0.723404255319149,0.6666666666666666,0.7317073170731707,0.5,0.7804878048780488,0.6909090909090909,0.6666666666666666,0.7636363636363637,0.6274509803921569,0.6896551724137931,0.5416666666666666,0.7272727272727273,0.8461538461538461,0.6229508196721312,0.4864864864864865,0.5555555555555556,0.7755102040816326,0.5714285714285714,0.7906976744186046,0.6666666666666666,0.631578947368421,0.711864406779661,0.6229508196721312,0.5714285714285714,0.5769230769230769
charlie1,0.68,0.7169811320754716,1.0,0.7142857142857143,0.6666666666666666,0.76,0.43902439024390244,0.64,0.71875,0.7936507936507936,0.78125,0.5,0.8656716417910447,0.6666666666666666,0.7169811320754716,0.7213114754098361,0.8857142857142857,0.5217391304347826,0.5679012345679012,0.7931034482758621,0.5,0.6923076923076923,0.782608695652174,0.7575757575757576,0.7647058823529411,0.5714285714285714,0.7848101265822784,0.6885245901639344
diana1,0.7727272727272727,0.723404255319149,0.7142857142857143,1.0,0.6333333333333333,0.8181818181818182,0.4,0.5,0.5517241379310345,0.5614035087719298,0.6206896551724138,0.5185185185185185,0.6885245901639344,0.8235294117647058,0.7659574468085106,0.6181818181818182,0.6875,0.75,0.5066666666666667,0.7307692307692307,0.47368421052631576,0.5652173913043478,0.5714285714285714,0.5333333333333333,0.6451612903225806,0.5625,0.6301369863013698,0.8363636363636363
ethan1,0.5925925925925926,0.6666666666666666,0.6666666666666666,0.6333333333333333,1.0,0.6666666666666666,0.35555555555555557,0.5555555555555556,0.5,0.6567164179104478,0.7352941176470589,0.59375,0.676056338028169,0.5245901639344263,0.6666666666666666,0.7692307692307693,0.7027027027027027,0.44,0.8235294117647058,0.8387096774193549,0.4166666666666667,0.6071428571428571,0.6027397260273972,0.6857142857142857,0.8055555555555556,0.6756756756756757,0.7469879518072289,0.5846153846153846
fred1,0.7894736842105263,0.7317073170731707,0.76,0.8181818181818182,0.6666666666666666,1.0,0.4827586206896552,0.5789473684210527,0.6153846153846154,0.6666666666666666,0.6923076923076923,0.5416666666666666,0.6181818181818182,0.7111111111111111,0.7804878048780488,0.6122448979591837,0.6551724137931034,0.5882352941176471,0.5217391304347826,0.8260869565217391,0.5625,0.65,0.631578947368421,0.6296296296296297,0.6785714285714286,0.6206896551724138,0.5671641791044776,0.7346938775510204
greta1,0.41379310344827586,0.5,0.43902439024390244,0.4,0.35555555555555557,0.4827586206896552,1.0,0.6896551724137931,0.37209302325581395,0.38095238095238093,0.46511627906976744,0.41025641025641024,0.391304347826087,0.5,0.5,0.4,0.3673469387755102,0.48,0.26666666666666666,0.43243243243243246,0.8695652173913043,0.6451612903225806,0.3333333333333333,0.35555555555555557,0.425531914893617,0.32653061224489793,0.3103448275862069,0.45
harriet1,0.5789473684210527,0.7804878048780488,0.64,0.5,0.5555555555555556,0.5789473684210527,0.6896551724137931,1.0,0.5769230769230769,0.5490196078431373,0.7307692307692307,0.625,0.6181818181818182,0.5777777777777777,0.6341463414634146,0.6938775510204082,0.5517241379310345,0.47058823529411764,0.463768115942029,0.6086956521739131,0.6875,0.95,0.5263157894736842,0.5185185185185185,0.6785714285714286,0.5172413793103449,0.5373134328358209,0.5306122448979592
indigo1,0.5,0.6909090909090909,0.71875,0.5517241379310345,0.5,0.6153846153846154,0.37209302325581395,0.5769230769230769,1.0,0.8,0.6060606060606061,0.45161290322580644,0.6666666666666666,0.4745762711864407,0.5454545454545454,0.6349206349206349,0.7222222222222222,0.375,0.43373493975903615,0.6,0.43478260869565216,0.5925925925925926,0.9295774647887324,0.7941176470588235,0.5714285714285714,0.4722222222222222,0.6172839506172839,0.47619047619047616
james1,0.5098039215686274,0.6666666666666666,0.7936507936507936,0.5614035087719298,0.6567164179104478,0.6666666666666666,0.38095238095238093,0.5490196078431373,0.8,1.0,0.676923076923077,0.4262295081967213,0.7352941176470589,0.4827586206896552,0.5555555555555556,0.7419354838709677,0.8450704225352113,0.3404255319148936,0.5609756097560976,0.6779661016949152,0.4444444444444444,0.6037735849056604,0.8571428571428571,0.9552238805970149,0.6666666666666666,0.5070422535211268,0.725,0.5161290322580645
kyle1,0.6153846153846154,0.7636363636363637,0.78125,0.6206896551724138,0.7352941176470589,0.6923076923076923,0.46511627906976744,0.7307692307692307,0.6060606060606061,0.676923076923077,1.0,0.6774193548387096,0.6956521739130435,0.576271186440678,0.6545454545454545,0.8253968253968254,0.6944444444444444,0.4166666666666667,0.6987951807228916,0.8,0.5217391304347826,0.7777777777777778,0.704225352112676,0.6470588235294118,0.9428571428571428,0.7222222222222222,0.691358024691358,0.6349206349206349
lily1,0.5833333333333334,0.6274509803921569,0.5,0.5185185185185185,0.59375,0.5416666666666666,0.41025641025641024,0.625,0.45161290322580644,0.4262295081967213,0.6774193548387096,1.0,0.49230769230769234,0.4727272727272727,0.6274509803921569,0.6440677966101694,0.4411764705882353,0.45454545454545453,0.5822784810126582,0.6071428571428571,0.47619047619047616,0.64,0.44776119402985076,0.40625,0.6666666666666666,0.8529411764705882,0.4675324675324675,0.4745762711864407
michael1,0.5454545454545454,0.6896551724137931,0.8656716417910447,0.6885245901639344,0.676056338028169,0.6181818181818182,0.391304347826087,0.6181818181818182,0.6666666666666666,0.7352941176470589,0.6956521739130435,0.49230769230769234,1.0,0.7096774193548387,0.5862068965517241,0.7575757575757576,0.88,0.5490196078431373,0.5813953488372093,0.6984126984126984,0.4489795918367347,0.631578947368421,0.6756756756756757,0.704225352112676,0.7397260273972602,0.5066666666666667,0.8571428571428571,0.696969696969697
nancy1,0.6666666666666666,0.5416666666666666,0.6666666666666666,0.8235294117647058,0.5245901639344263,0.7111111111111111,0.5,0.5777777777777777,0.4745762711864407,0.4827586206896552,0.576271186440678,0.4727272727272727,0.7096774193548387,1.0,0.6666666666666666,0.4642857142857143,0.6461538461538462,0.6829268292682927,0.42105263157894735,0.6037735849056604,0.5641025641025641,0.6382978723404256,0.46875,0.45901639344262296,0.6031746031746031,0.46153846153846156,0.6756756756756757,0.9285714285714286
alice2,0.926829268292683,0.7272727272727273,0.7169811320754716,0.7659574468085106,0.6666666666666666,0.7804878048780488,0.5,0.6341463414634146,0.5454545454545454,0.5555555555555556,0.6545454545454545,0.6274509803921569,0.5862068965517241,0.6666666666666666,1.0,0.6153846153846154,0.6557377049180327,0.6486486486486487,0.5277777777777778,0.8163265306122449,0.5714285714285714,0.6976744186046512,0.6,0.5614035087719298,0.6779661016949152,0.6229508196721312,0.5428571428571428,0.6923076923076923
bob2,0.5714285714285714,0.8461538461538461,0.7213114754098361,0.6181818181818182,0.7692307692307693,0.6122448979591837,0.4,0.6938775510204082,0.6349206349206349,0.7419354838709677,0.8253968253968254,0.6440677966101694,0.7575757575757576,0.4642857142857143,0.6153846153846154,1.0,0.6956521739130435,0.4,0.675,0.7368421052631579,0.46511627906976744,0.7058823529411765,0.6764705882352942,0.7076923076923077,0.8059701492537313,0.6376811594202898,0.6923076923076923,0.5
charlie2,0.5862068965517241,0.6229508196721312,0.8857142857142857,0.6875,0.7027027027027027,0.6551724137931034,0.3673469387755102,0.5517241379310345,0.7222222222222222,0.8450704225352113,0.6944444444444444,0.4411764705882353,0.88,0.6461538461538462,0.6557377049180327,0.6956521739130435,1.0,0.5185185185185185,0.6067415730337079,0.7272727272727273,0.4230769230769231,0.6,0.7792207792207793,0.8378378378378378,0.7631578947368421,0.5384615384615384,0.8505747126436781,0.6666666666666666
diana2,0.7058823529411765,0.4864864864864865,0.5217391304347826,0.75,0.44,0.5882352941176471,0.48,0.47058823529411764,0.375,0.3404255319148936,0.4166666666666667,0.45454545454545453,0.5490196078431373,0.6829268292682927,0.6486486486486487,0.4,0.5185185185185185,1.0,0.3384615384615385,0.5238095238095238,0.5,0.4444444444444444,0.37735849056603776,0.32,0.46153846153846156,0.37037037037037035,0.4444444444444444,0.6666666666666666
ethan2,0.463768115942029,0.5555555555555556,0.5679012345679012,0.5066666666666667,0.8235294117647058,0.5217391304347826,0.26666666666666666,0.463768115942029,0.43373493975903615,0.5609756097560976,0.6987951807228916,0.5822784810126582,0.5813953488372093,0.42105263157894735,0.5277777777777778,0.675,0.6067415730337079,0.3384615384615385,1.0,0.6753246753246753,0.31746031746031744,0.5070422535211268,0.5227272727272727,0.5882352941176471,0.7586206896551724,0.651685393258427,0.6530612244897959,0.475
fred2,0.7391304347826086,0.7755102040816326,0.7931034482758621,0.7307692307692307,0.8387096774193549,0.8260869565217391,0.43243243243243246,0.6086956521739131,0.6,0.6779661016949152,0.8,0.6071428571428571,0.6984126984126984,0.6037735849056604,0.8163265306122449,0.7368421052631579,0.7272727272727273,0.5238095238095238,0.6753246753246753,1.0,0.5,0.6666666666666666,0.7076923076923077,0.7096774193548387,0.8125,0.696969696969697,0.64,0.6666666666666666
greta2,0.5,0.5714285714285714,0.5,0.47368421052631576,0.4166666666666667,0.5625,0.8695652173913043,0.6875,0.43478260869565216,0.4444444444444444,0.5217391304347826,0.47619047619047616,0.4489795918367347,0.5641025641025641,0.5714285714285714,0.46511627906976744,0.4230769230769231,0.5,0.31746031746031744,0.5,1.0,0.7058823529411765,0.39215686274509803,0.4166666666666667,0.48,0.38461538461538464,0.36065573770491804,0.5116279069767442
harriet2,0.65,0.7906976744186046,0.6923076923076923,0.5652173913043478,0.6071428571428571,0.65,0.6451612903225806,0.95,0.5925925925925926,0.6037735849056604,0.7777777777777778,0.64,0.631578947368421,0.6382978723404256,0.6976744186046512,0.7058823529411765,0.6,0.4444444444444444,0.5070422535211268,0.6666666666666666,0.7058823529411765,1.0,0.576271186440678,0.5714285714285714,0.7241379310344828,0.5666666666666667,0.5797101449275363,0.5882352941176471
indigo2,0.5614035087719298,0.6666666666666666,0.782608695652174,0.5714285714285714,0.6027397260273972,0.631578947368421,0.3333333333333333,0.5263157894736842,0.9295774647887324,0.8571428571428571,0.704225352112676,0.44776119402985076,0.6756756756756757,0.46875,0.6,0.6764705882352942,0.7792207792207793,0.37735849056603776,0.5227272727272727,0.7076923076923077,0.39215686274509803,0.576271186440678,1.0,0.8493150684931506,0.6666666666666666,0.5194805194805194,0.6744186046511628,0.5294117647058824
james2,0.48148148148148145,0.631578947368421,0.7575757575757576,0.5333333333333333,0.6857142857142857,0.6296296296296297,0.35555555555555557,0.5185185185185185,0.7941176470588235,0.9552238805970149,0.6470588235294118,0.40625,0.704225352112676,0.45901639344262296,0.5614035087719298,0.7076923076923077,0.8378378378378378,0.32,0.5882352941176471,0.7096774193548387,0.4166666666666667,0.5714285714285714,0.8493150684931506,1.0,0.6666666666666666,0.5135135135135135,0.6987951807228916,0.49230769230769234
kyle2,0.6071428571428571,0.711864406779661,0.7647058823529411,0.6451612903225806,0.8055555555555556,0.6785714285714286,0.425531914893617,0.6785714285714286,0.5714285714285714,0.6666666666666666,0.9428571428571428,0.6666666666666666,0.7397260273972602,0.6031746031746031,0.6779661016949152,0.8059701492537313,0.7631578947368421,0.46153846153846156,0.7586206896551724,0.8125,0.48,0.7241379310344828,0.6666666666666666,0.6666666666666666,1.0,0.7368421052631579,0.7294117647058823,0.6567164179104478
lily2,0.5517241379310345,0.6229508196721312,0.5714285714285714,0.5625,0.6756756756756757,0.6206896551724138,0.32653061224489793,0.5172413793103449,0.4722222222222222,0.5070422535211268,0.7222222222222222,0.8529411764705882,0.5066666666666667,0.46153846153846156,0.6229508196721312,0.6376811594202898,0.5384615384615384,0.37037037037037035,0.651685393258427,0.696969696969697,0.38461538461538464,0.5666666666666667,0.5194805194805194,0.5135135135135135,0.7368421052631579,1.0,0.5287356321839081,0.5217391304347826
michael2,0.5074626865671642,0.5714285714285714,0.7848101265822784,0.6301369863013698,0.7469879518072289,0.5671641791044776,0.3103448275862069,0.5373134328358209,0.6172839506172839,0.725,0.691358024691358,0.4675324675324675,0.8571428571428571,0.6756756756756757,0.5428571428571428,0.6923076923076923,0.8505747126436781,0.4444444444444444,0.6530612244897959,0.64,0.36065573770491804,0.5797101449275363,0.6744186046511628,0.6987951807228916,0.7294117647058823,0.5287356321839081,1.0,0.717948717948718
nancy2,0.6938775510204082,0.5769230769230769,0.6885245901639344,0.8363636363636363,0.5846153846153846,0.7346938775510204,0.45,0.5306122448979592,0.47619047619047616,0.5161290322580645,0.6349206349206349,0.4745762711864407,0.696969696969697,0.9285714285714286,0.6923076923076923,0.5,0.6666666666666666,0.6666666666666666,0.475,0.6666666666666666,0.5116279069767442,0.5882352941176471,0.5294117647058824,0.49230769230769234,0.6567164179104478,0.5217391304347826,0.717948717948718,1.0

