  ,alice1,alice2,bob1,bob2,charlie1,charlie2,diana1,diana2,ethan1,ethan2,fred1,fred2,greta1,greta2,harriet1,harriet2,indigo1,indigo2,james1,james2,kyle1,kyle2,lily1,lily2,michael1,michael2,nancy1,nancy2
alice1,1.0,0.9886678508389772,0.9590427011776466,0.951919983630603,0.9645329052876502,0.9628572656517028,0.9745337656738745,0.9602323520591649,0.9703844576260476,0.9662579739958704,0.9703915458688688,0.9785051166713101,0.9263155893827122,0.9370510421830296,0.9409053988326914,0.9504688987116353,0.9390885149292335,0.9496458361367822,0.9416133779705884,0.9478012049070172,0.9586516592761373,0.9669971926825411,0.94074579097806,0.9465994493262473,0.957785289517355,0.9645060373513752,0.9574611323016172,0.9616321239285137
alice2,0.9886678508389772,1.0,0.9614166671461303,0.9542939495990869,0.9681489596398289,0.966158343706554,0.9675023083036005,0.962928149397446,0.9631686963831378,0.9617751070935856,0.971729958207987,0.9770597789619817,0.9340796238726674,0.9461274890736754,0.9432793648011752,0.9559756967603196,0.9460294136503993,0.953995028318873,0.9459625701526791,0.9521503970891081,0.9591316858506816,0.9637135872039797,0.9408484289409078,0.9447668349388103,0.9610758931720964,0.9659689505961281,0.9542195217476769,0.9580700005540606
bob1,0.9590427011776466,0.9614166671461303,1.0,0.9862331964199496,0.9710678578323605,0.9675343722025957,0.9562262263907235,0.9432243005691486,0.9684479188016444,0.9638255338142286,0.9618606927721892,0.9709713197711368,0.9467604468257362,0.9503881179965892,0.9681226682800927,0.9697212484186246,0.9571233856775885,0.966642458681129,0.9735470427428871,0.9709921735505018,0.9680513079166696,0.9639289309761289,0.9419967904535134,0.9422293310751085,0.9646172443241069,0.9645376672363697,0.9316985673808837,0.9334797798717289
bob2,0.951919983630603,0.9542939495990869,0.9862331964199496,1.0,0.9614246513022622,0.9578988944894498,0.9511130531682038,0.9430680914760068,0.970746417654251,0.9712137658583435,0.963219635194199,0.9682481759566052,0.9367726265870535,0.9404752051536626,0.9702405512325462,0.9675263497188549,0.9503583503322761,0.9562984705511621,0.9653512082376411,0.9606739800340498,0.9736398521295815,0.9695310931116701,0.950359199764778,0.9478487936779092,0.9631670492271733,0.9623930276949917,0.9285075128439878,0.9302759672810246
charlie1,0.9645329052876502,0.9681489596398289,0.9710678578323605,0.9614246513022622,1.0,0.9923185142908739,0.9680945532007837,0.9532122578386049,0.9577286665157538,0.9543845036662068,0.9727890285410276,0.968356409339529,0.9476348457972281,0.9581875803057358,0.963253889931079,0.9699754547405725,0.9619755709866957,0.9686899690785604,0.9717812330716563,0.9723751778550391,0.9673753596549555,0.9685460045164462,0.9326446410380087,0.9375794115179679,0.9814831708842305,0.9790776886521594,0.9582537716217829,0.9572186087711226
charlie2,0.9628572656517028,0.966158343706554,0.9675343722025957,0.9578988944894498,0.9923185142908739,1.0,0.9700181649607877,0.955024783552898,0.9571554516351395,0.9516684316427353,0.9732740912189097,0.9652699669456872,0.9464829172082558,0.957006452606892,0.9618600877347708,0.9686654690054574,0.9621627597826551,0.9700026055861534,0.9714356996724836,0.9718365427817667,0.9645828055234227,0.9685692168825875,0.9310758174074958,0.935721995053834,0.982673941213642,0.9818587203104697,0.9606676916817846,0.9596421531697656
diana1,0.9745337656738745,0.9675023083036005,0.9562262263907235,0.9511130531682038,0.9680945532007837,0.9700181649607877,1.0,0.9743583358054305,0.9594159456088123,0.9527995470205842,0.9652189573121075,0.9656451284381434,0.9184990360736376,0.9281610153013642,0.9329932052123975,0.9394994927607546,0.9371817493461806,0.9484989193718993,0.9491158189011845,0.9493129621109123,0.9555720015410107,0.9615528964644535,0.9318295820195059,0.9360508767079354,0.9692383388103133,0.9722602089209299,0.9736485705173135,0.9733367243429351
diana2,0.9602323520591649,0.962928149397446,0.9432243005691486,0.9430680914760068,0.9532122578386049,0.955024783552898,0.9743583358054305,1.0,0.9393334091515387,0.9327749605877059,0.9485417501380935,0.9484955239808363,0.922334196814997,0.9293356309814904,0.9322270324660366,0.9353146219127023,0.937985620099228,0.9406837969031085,0.9306155393119453,0.930670258955125,0.9429049090510104,0.9482899734352904,0.9360711369129627,0.931422484881719,0.9637280140171688,0.9664887577967032,0.9745392456281409,0.9729037374377457
ethan1,0.9703844576260476,0.9631686963831378,0.9684479188016444,0.970746417654251,0.9577286665157538,0.9571554516351395,0.9594159456088123,0.9393334091515387,1.0,0.9893460527534607,0.9820016611681095,0.9848497504051471,0.9247734140146602,0.9356962356034532,0.9461392823037444,0.9550649335326993,0.9342296708688055,0.9449571527156109,0.956239019760901,0.9577975238673085,0.9643600292215365,0.9724416604037556,0.9440804883846374,0.9525364194129926,0.9546952029301358,0.9585086362284945,0.9415330332686005,0.9464824131738853
ethan2,0.9662579739958704,0.9617751070935856,0.9638255338142286,0.9712137658583435,0.9543845036662068,0.9516684316427353,0.9527995470205842,0.9327749605877059,0.9893460527534607,1.0,0.9754683853898659,0.9835032646936671,0.9216165260211613,0.9325393476099543,0.9481579163663901,0.9570835675953451,0.9310560121593141,0.9410107910379014,0.9526607853871248,0.9544304834747952,0.9653072347127537,0.9715768541805213,0.9449486016142037,0.95602883937795,0.9492081829377316,0.9530216162360902,0.9364096150051696,0.9415617681041933
fred1,0.9703915458688688,0.971729958207987,0.9618606927721892,0.963219635194199,0.9727890285410276,0.9732740912189097,0.9652189573121075,0.9485417501380935,0.9820016611681095,0.9754683853898659,1.0,0.9851185929926378,0.9273640097841883,0.9412567582426842,0.9426228169782634,0.9516964858289598,0.9467112167902716,0.9546389344559155,0.9650468733463643,0.9668393115800423,0.961535832355877,0.9664009298403333,0.9318658092512428,0.9369079679043434,0.9666057660578431,0.9675600267323992,0.9501232334589164,0.950011002129777
fred2,0.9785051166713101,0.9770597789619817,0.9709713197711368,0.9682481759566052,0.968356409339529,0.9652699669456872,0.9656451284381434,0.9484955239808363,0.9848497504051471,0.9835032646936671,0.9851185929926378,1.0,0.930701092081926,0.9414365448822434,0.9470443385723981,0.9561180074230946,0.9441876483689837,0.9547045461508088,0.9607393410141225,0.9633788016842354,0.9697452327378905,0.9750083506314658,0.9439652876505665,0.9481056524787732,0.9628097182406835,0.9666231515390421,0.9456488280461065,0.9498198196730031
greta1,0.9263155893827122,0.9340796238726674,0.9467604468257362,0.9367726265870535,0.9476348457972281,0.9464829172082558,0.9184990360736376,0.922334196814997,0.9247734140146602,0.9216165260211613,0.9273640097841883,0.930701092081926,1.0,0.9813825447649009,0.9624371487716821,0.9628114360313192,0.9608492491848503,0.9650552412199063,0.9583615295833946,0.9568422639586569,0.9419965130945192,0.9381255688016055,0.9229011295861792,0.9210952654141097,0.9377996945456089,0.9388853182855449,0.9271403573785022,0.9229178383053772
greta2,0.9370510421830296,0.9461274890736754,0.9503881179965892,0.9404752051536626,0.9581875803057358,0.957006452606892,0.9281610153013642,0.9293356309814904,0.9356962356034532,0.9325393476099543,0.9412567582426842,0.9414365448822434,0.9813825447649009,1.0,0.9656092964577362,0.9723606312464859,0.9523772304238886,0.9574663052076888,0.9572198824833781,0.9608690042696952,0.9486209588163053,0.9464903912637682,0.927093181944203,0.9288129587977745,0.9435525249692808,0.9426521702244114,0.9362015489458859,0.9342464841997704
harriet1,0.9409053988326914,0.9432793648011752,0.9681226682800927,0.9702405512325462,0.963253889931079,0.9618600877347708,0.9329932052123975,0.9322270324660366,0.9461392823037444,0.9481579163663901,0.9426228169782634,0.9470443385723981,0.9624371487716821,0.9656092964577362,1.0,0.9871488648074896,0.9615486999905637,0.9631913560965961,0.960530596892837,0.9601995377587312,0.9729012438072221,0.9687236188313858,0.9456562079871085,0.9442510185226977,0.9592934798601336,0.957450856021634,0.9375168843449687,0.9329224774212658
harriet2,0.9504688987116353,0.9559756967603196,0.9697212484186246,0.9675263497188549,0.9699754547405725,0.9686654690054574,0.9394994927607546,0.9353146219127023,0.9550649335326993,0.9570835675953451,0.9516964858289598,0.9561180074230946,0.9628114360313192,0.9723606312464859,0.9871488648074896,1.0,0.957192363957147,0.9620708218012322,0.961931290023103,0.964226966158002,0.9762359287318965,0.9741053611793594,0.9456853485841011,0.9516546517039381,0.9561143211010378,0.958179882769407,0.9461003599833263,0.9444283331899339
indigo1,0.9390885149292335,0.9460294136503993,0.9571233856775885,0.9503583503322761,0.9619755709866957,0.9621627597826551,0.9371817493461806,0.937985620099228,0.9342296708688055,0.9310560121593141,0.9467112167902716,0.9441876483689837,0.9608492491848503,0.9523772304238886,0.9615486999905637,0.957192363957147,1.0,0.9875438757728523,0.9733974765308181,0.9713136460119582,0.9463805271071248,0.9430857948940202,0.9258902958336162,0.9244546475829845,0.9552625569732158,0.9519086842885391,0.932596552962368,0.9301983407327381
indigo2,0.9496458361367822,0.953995028318873,0.966642458681129,0.9562984705511621,0.9686899690785604,0.9700026055861534,0.9484989193718993,0.9406837969031085,0.9449571527156109,0.9410107910379014,0.9546389344559155,0.9547045461508088,0.9650552412199063,0.9574663052076888,0.9631913560965961,0.9620708218012322,0.9875438757728523,1.0,0.9821257518398946,0.980342298589024,0.9566417600708272,0.9536883654302363,0.9294712770430069,0.9324884883949626,0.9561609131479619,0.9558556424406016,0.9378446922267912,0.938735953681372
james1,0.9416133779705884,0.9459625701526791,0.9735470427428871,0.9653512082376411,0.9717812330716563,0.9714356996724836,0.9491158189011845,0.9306155393119453,0.956239019760901,0.9526607853871248,0.9650468733463643,0.9607393410141225,0.9583615295833946,0.9572198824833781,0.960530596892837,0.961931290023103,0.9733974765308181,0.9821257518398946,1.0,0.993342178619089,0.9541496916246801,0.95081945776474,0.9234394509972095,0.9290081130914054,0.9581655396325903,0.9552267899210506,0.9343019926763365,0.9337467291646553
james2,0.9478012049070172,0.9521503970891081,0.9709921735505018,0.9606739800340498,0.9723751778550391,0.9718365427817667,0.9493129621109123,0.930670258955125,0.9577975238673085,0.9544304834747952,0.9668393115800423,0.9633788016842354,0.9568422639586569,0.9608690042696952,0.9601995377587312,0.964226966158002,0.9713136460119582,0.980342298589024,0.993342178619089,1.0,0.9542396041499985,0.9521762621819502,0.9234234347991657,0.9293927379190026,0.957941444332069,0.9550026946205292,0.9343517539530108,0.9349328967865287
kyle1,0.9586516592761373,0.9591316858506816,0.9680513079166696,0.9736398521295815,0.9673753596549555,0.9645828055234227,0.9555720015410107,0.9429049090510104,0.9643600292215365,0.9653072347127537,0.961535832355877,0.9697452327378905,0.9419965130945192,0.9486209588163053,0.9729012438072221,0.9762359287318965,0.9463805271071248,0.9566417600708272,0.9541496916246801,0.9542396041499985,1.0,0.9906519457633779,0.9567278940260583,0.9612688702751623,0.960095174848045,0.9658512970433272,0.9479113679619272,0.9497085536626035
kyle2,0.9669971926825411,0.9637135872039797,0.9639289309761289,0.9695310931116701,0.9685460045164462,0.9685692168825875,0.9615528964644535,0.9482899734352904,0.9724416604037556,0.9715768541805213,0.9664009298403333,0.9750083506314658,0.9381255688016055,0.9464903912637682,0.9687236188313858,0.9741053611793594,0.9430857948940202,0.9536883654302363,0.95081945776474,0.9521762621819502,0.9906519457633779,1.0,0.9576031394983219,0.9620989059346716,0.963056262636155,0.9688123848314371,0.9540190130646352,0.9570730475678916
lily1,0.94074579097806,0.9408484289409078,0.9419967904535134,0.950359199764778,0.9326446410380087,0.9310758174074958,0.9318295820195059,0.9360711369129627,0.9440804883846374,0.9449486016142037,0.9318658092512428,0.9439652876505665,0.9229011295861792,0.927093181944203,0.9456562079871085,0.9456853485841011,0.9258902958336162,0.9294712770430069,0.9234394509972095,0.9234234347991657,0.9567278940260583,0.9576031394983219,1.0,0.9876317125021788,0.9332110253501185,0.9380861257771156,0.9264435737954494,0.9273077391909098
lily2,0.9465994493262473,0.9447668349388103,0.9422293310751085,0.9478487936779092,0.9375794115179679,0.935721995053834,0.9360508767079354,0.931422484881719,0.9525364194129926,0.95602883937795,0.9369079679043434,0.9481056524787732,0.9210952654141097,0.9288129587977745,0.9442510185226977,0.9516546517039381,0.9244546475829845,0.9324884883949626,0.9290081130914054,0.9293927379190026,0.9612688702751623,0.9620989059346716,0.9876317125021788,1.0,0.9304522516259881,0.9371233290644795,0.9318423063230938,0.9361068887900629
michael1,0.957785289517355,0.9610758931720964,0.9646172443241069,0.9631670492271733,0.9814831708842305,0.982673941213642,0.9692383388103133,0.9637280140171688,0.9546952029301358,0.9492081829377316,0.9666057660578431,0.9628097182406835,0.9377996945456089,0.9435525249692808,0.9592934798601336,0.9561143211010378,0.9552625569732158,0.9561609131479619,0.9581655396325903,0.957941444332069,0.960095174848045,0.963056262636155,0.9332110253501185,0.9304522516259881,1.0,0.9922967502633296,0.9620847770449521,0.9589438411479887
michael2,0.9645060373513752,0.9659689505961281,0.9645376672363697,0.9623930276949917,0.9790776886521594,0.9818587203104697,0.9722602089209299,0.9664887577967032,0.9585086362284945,0.9530216162360902,0.9675600267323992,0.9666231515390421,0.9388853182855449,0.9426521702244114,0.957450856021634,0.958179882769407,0.9519086842885391,0.9558556424406016,0.9552267899210506,0.9550026946205292,0.9658512970433272,0.9688123848314371,0.9380861257771156,0.9371233290644795,0.9922967502633296,1.0,0.9659378785862996,0.9627969426893362
nancy1,0.9574611323016172,0.9542195217476769,0.9316985673808837,0.9285075128439878,0.9582537716217829,0.9606676916817846,0.9736485705173135,0.9745392456281409,0.9415330332686005,0.9364096150051696,0.9501232334589164,0.9456488280461065,0.9271403573785022,0.9362015489458859,0.9375168843449687,0.9461003599833263,0.932596552962368,0.9378446922267912,0.9343019926763365,0.9343517539530108,0.9479113679619272,0.9540190130646352,0.9264435737954494,0.9318423063230938,0.9620847770449521,0.9659378785862996,1.0,0.9920183187719005
nancy2,0.9616321239285137,0.9580700005540606,0.9334797798717289,0.9302759672810246,0.9572186087711226,0.9596421531697656,0.9733367243429351,0.9729037374377457,0.9464824131738853,0.9415617681041933,0.950011002129777,0.9498198196730031,0.9229178383053772,0.9342464841997704,0.9329224774212658,0.9444283331899339,0.9301983407327381,0.938735953681372,0.9337467291646553,0.9349328967865287,0.9497085536626035,0.9570730475678916,0.9273077391909098,0.9361068887900629,0.9589438411479887,0.9627969426893362,0.9920183187719005,1.0

